0 40 inf
1e-05 -nan -nan
2e-05 -nan -nan
3e-05 -nan -nan
4e-05 -nan -nan
5e-05 -nan -nan
6e-05 -nan -nan
7e-05 -nan -nan
8e-05 -nan -nan
9e-05 -nan -nan
0.0001 -nan -nan
0.00011 -nan -nan
0.00012 -nan -nan
0.00013 -nan -nan
0.00014 -nan -nan
0.00015 -nan -nan
0.00016 -nan -nan
0.00017 -nan -nan
0.00018 -nan -nan
0.00019 -nan -nan
0.0002 -nan -nan
0.00021 -nan -nan
0.00022 -nan -nan
0.00023 -nan -nan
0.00024 -nan -nan
0.00025 -nan -nan
0.00026 -nan -nan
0.00027 -nan -nan
0.00028 -nan -nan
0.00029 -nan -nan
0.0003 -nan -nan
0.00031 -nan -nan
0.00032 -nan -nan
0.00033 -nan -nan
0.00034 -nan -nan
0.00035 -nan -nan
0.00036 -nan -nan
0.00037 -nan -nan
0.00038 -nan -nan
0.00039 -nan -nan
0.0004 -nan -nan
0.00041 -nan -nan
0.00042 -nan -nan
0.00043 -nan -nan
0.00044 -nan -nan
0.00045 -nan -nan
0.00046 -nan -nan
0.00047 -nan -nan
0.00048 -nan -nan
0.00049 -nan -nan
0.0005 -nan -nan
0.00051 -nan -nan
0.00052 -nan -nan
0.00053 -nan -nan
0.00054 -nan -nan
0.00055 -nan -nan
0.00056 -nan -nan
0.00057 -nan -nan
0.00058 -nan -nan
0.00059 -nan -nan
0.0006 -nan -nan
0.00061 -nan -nan
0.00062 -nan -nan
0.00063 -nan -nan
0.00064 -nan -nan
0.00065 -nan -nan
0.00066 -nan -nan
0.00067 -nan -nan
0.00068 -nan -nan
0.00069 -nan -nan
0.0007 -nan -nan
0.00071 -nan -nan
0.00072 -nan -nan
0.00073 -nan -nan
0.00074 -nan -nan
0.00075 -nan -nan
0.00076 -nan -nan
0.00077 -nan -nan
0.00078 -nan -nan
0.00079 -nan -nan
0.0008 -nan -nan
0.00081 -nan -nan
0.00082 -nan -nan
0.00083 -nan -nan
0.00084 -nan -nan
0.00085 -nan -nan
0.00086 -nan -nan
0.00087 -nan -nan
0.00088 -nan -nan
0.00089 -nan -nan
0.0009 -nan -nan
0.00091 -nan -nan
0.00092 -nan -nan
0.00093 -nan -nan
0.00094 -nan -nan
0.00095 -nan -nan
0.00096 -nan -nan
0.00097 -nan -nan
0.00098 -nan -nan
0.00099 -nan -nan
0.001 -nan -nan
0.00101 -nan -nan
0.00102 -nan -nan
0.00103 -nan -nan
0.00104 -nan -nan
0.00105 -nan -nan
0.00106 -nan -nan
0.00107 -nan -nan
0.00108 -nan -nan
0.00109 -nan -nan
0.0011 -nan -nan
0.00111 -nan -nan
0.00112 -nan -nan
0.00113 -nan -nan
0.00114 -nan -nan
0.00115 -nan -nan
0.00116 -nan -nan
0.00117 -nan -nan
0.00118 -nan -nan
0.00119 -nan -nan
0.0012 -nan -nan
0.00121 -nan -nan
0.00122 -nan -nan
0.00123 -nan -nan
0.00124 -nan -nan
0.00125 -nan -nan
0.00126 -nan -nan
0.00127 -nan -nan
0.00128 -nan -nan
0.00129 -nan -nan
0.0013 -nan -nan
0.00131 -nan -nan
0.00132 -nan -nan
0.00133 -nan -nan
0.00134 -nan -nan
0.00135 -nan -nan
0.00136 -nan -nan
0.00137 -nan -nan
0.00138 -nan -nan
0.00139 -nan -nan
0.0014 -nan -nan
0.00141 -nan -nan
0.00142 -nan -nan
0.00143 -nan -nan
0.00144 -nan -nan
0.00145 -nan -nan
0.00146 -nan -nan
0.00147 -nan -nan
0.00148 -nan -nan
0.00149 -nan -nan
0.0015 -nan -nan
0.00151 -nan -nan
0.00152 -nan -nan
0.00153 -nan -nan
0.00154 -nan -nan
0.00155 -nan -nan
0.00156 -nan -nan
0.00157 -nan -nan
0.00158 -nan -nan
0.00159 -nan -nan
0.0016 -nan -nan
0.00161 -nan -nan
0.00162 -nan -nan
0.00163 -nan -nan
0.00164 -nan -nan
0.00165 -nan -nan
0.00166 -nan -nan
0.00167 -nan -nan
0.00168 -nan -nan
0.00169 -nan -nan
0.0017 -nan -nan
0.00171 -nan -nan
0.00172 -nan -nan
0.00173 -nan -nan
0.00174 -nan -nan
0.00175 -nan -nan
0.00176 -nan -nan
0.00177 -nan -nan
0.00178 -nan -nan
0.00179 -nan -nan
0.0018 -nan -nan
0.00181 -nan -nan
0.00182 -nan -nan
0.00183 -nan -nan
0.00184 -nan -nan
0.00185 -nan -nan
